                typname                |  oid  | typarray 
 pg_cast                               | 12021 |        0
 pg_enum                               | 12022 |        0
 pg_namespace                          | 12023 |        0
 pg_conversion                         | 12024 |        0
 pg_depend                             | 12025 |        0
 pg_db_role_setting                    | 12026 |        0
 pg_tablespace                         | 12027 |        0
 pg_pltemplate                         | 12028 |        0
 pg_shdepend                           | 12029 |        0
 pg_shdescription                      | 12030 |        0
 pg_ts_config                          | 12031 |        0
 pg_ts_config_map                      | 12032 |        0
 pg_ts_dict                            | 12033 |        0
 pg_ts_parser                          | 12034 |        0
 pg_ts_template                        | 12035 |        0
 pg_extension                          | 12036 |        0
 pg_foreign_data_wrapper               | 12037 |        0
 pg_foreign_server                     | 12038 |        0
 pg_user_mapping                       | 12039 |        0
 pg_foreign_table                      | 12040 |        0
 pg_policy                             | 12041 |        0
 pg_replication_origin                 | 12042 |        0
 pg_default_acl                        | 12043 |        0
 pg_init_privs                         | 12044 |        0
 pg_seclabel                           | 12045 |        0
 pg_collation                          | 12046 |        0
 pg_partitioned_table                  | 12047 |        0
 pg_range                              | 12048 |        0
 pg_transform                          | 12049 |        0
 pg_sequence                           | 12050 |        0
 pg_publication                        | 12051 |        0
 pg_publication_rel                    | 12052 |        0
 pg_subscription_rel                   | 12053 |        0
 pg_toast_2600                         | 12054 |        0
 pg_toast_2604                         | 12055 |        0
 pg_toast_3456                         | 12056 |        0
 pg_toast_2606                         | 12057 |        0
 pg_toast_826                          | 12058 |        0
 pg_toast_2609                         | 12059 |        0
 pg_toast_3466                         | 12060 |        0
 pg_toast_3079                         | 12061 |        0
 pg_toast_2328                         | 12062 |        0
 pg_toast_1417                         | 12063 |        0
 pg_toast_3118                         | 12064 |        0
 pg_toast_3394                         | 12065 |        0
 pg_toast_2612                         | 12066 |        0
 pg_toast_2615                         | 12067 |        0
 pg_toast_3350                         | 12068 |        0
 pg_toast_3256                         | 12069 |        0
 pg_toast_1255                         | 12070 |        0
 pg_toast_2618                         | 12071 |        0
 pg_toast_3596                         | 12072 |        0
 pg_toast_2619                         | 12073 |        0
 pg_toast_3381                         | 12074 |        0
 pg_toast_3429                         | 12075 |        0
 pg_toast_2620                         | 12076 |        0
 pg_toast_3600                         | 12077 |        0
 pg_toast_1247                         | 12078 |        0
 pg_toast_1418                         | 12079 |        0
 pg_toast_1260                         | 12080 |        0
 pg_toast_1262                         | 12081 |        0
 pg_toast_2964                         | 12082 |        0
 pg_toast_1136                         | 12083 |        0
 pg_toast_6000                         | 12084 |        0
 pg_toast_2396                         | 12085 |        0
 pg_toast_3592                         | 12086 |        0
 pg_toast_6100                         | 12087 |        0
 pg_toast_1213                         | 12088 |        0
 pg_roles                              | 12090 |        0
 pg_shadow                             | 12094 |        0
 pg_group                              | 12098 |        0
 pg_user                               | 12101 |        0
 pg_policies                           | 12104 |        0
 pg_rules                              | 12108 |        0
 pg_views                              | 12112 |        0
 pg_tables                             | 12116 |        0
 pg_matviews                           | 12120 |        0
 pg_indexes                            | 12124 |        0
 pg_sequences                          | 12128 |        0
 pg_stats                              | 12132 |        0
 pg_stats_ext                          | 12136 |        0
 pg_publication_tables                 | 12140 |        0
 pg_locks                              | 12144 |        0
 pg_cursors                            | 12147 |        0
 pg_available_extensions               | 12150 |        0
 pg_available_extension_versions       | 12153 |        0
 pg_prepared_xacts                     | 12156 |        0
 pg_prepared_statements                | 12160 |        0
 pg_seclabels                          | 12163 |        0
 pg_settings                           | 12167 |        0
 pg_file_settings                      | 12172 |        0
 pg_hba_file_rules                     | 12175 |        0
 pg_timezone_abbrevs                   | 12178 |        0
 pg_timezone_names                     | 12181 |        0
 pg_config                             | 12184 |        0
 pg_stat_all_tables                    | 12187 |        0
 pg_stat_xact_all_tables               | 12191 |        0
 pg_stat_sys_tables                    | 12195 |        0
 pg_stat_xact_sys_tables               | 12199 |        0
 pg_stat_user_tables                   | 12202 |        0
 pg_stat_xact_user_tables              | 12206 |        0
 pg_statio_all_tables                  | 12209 |        0
 pg_statio_sys_tables                  | 12213 |        0
 pg_statio_user_tables                 | 12216 |        0
 pg_stat_all_indexes                   | 12219 |        0
 pg_stat_sys_indexes                   | 12223 |        0
 pg_stat_user_indexes                  | 12226 |        0
 pg_statio_all_indexes                 | 12229 |        0
 pg_statio_sys_indexes                 | 12233 |        0
 pg_statio_user_indexes                | 12236 |        0
 pg_statio_all_sequences               | 12239 |        0
 pg_statio_sys_sequences               | 12243 |        0
 pg_statio_user_sequences              | 12246 |        0
 pg_stat_activity                      | 12249 |        0
 pg_stat_replication                   | 12253 |        0
 pg_stat_wal_receiver                  | 12257 |        0
 pg_stat_subscription                  | 12260 |        0
 pg_stat_ssl                           | 12263 |        0
 pg_stat_gssapi                        | 12266 |        0
 pg_replication_slots                  | 12269 |        0
 pg_stat_database                      | 12273 |        0
 pg_stat_database_conflicts            | 12277 |        0
 pg_stat_user_functions                | 12280 |        0
 pg_stat_xact_user_functions           | 12284 |        0
 pg_stat_archiver                      | 12288 |        0
 pg_stat_bgwriter                      | 12291 |        0
 pg_stat_progress_vacuum               | 12294 |        0
 pg_stat_progress_cluster              | 12298 |        0
 pg_stat_progress_create_index         | 12302 |        0
 pg_user_mappings                      | 12306 |        0
 pg_replication_origin_status          | 12310 |        0
 _cardinal_number                      | 13171 |        0
 cardinal_number                       | 13172 |    13171
 _character_data                       | 13174 |        0
 character_data                        | 13175 |    13174
 _sql_identifier                       | 13176 |        0
 sql_identifier                        | 13177 |    13176
 information_schema_catalog_name       | 13179 |        0
 _time_stamp                           | 13181 |        0
 time_stamp                            | 13182 |    13181
 _yes_or_no                            | 13183 |        0
 yes_or_no                             | 13184 |    13183
 applicable_roles                      | 13187 |        0
 administrable_role_authorizations     | 13191 |        0
 attributes                            | 13194 |        0
 character_sets                        | 13198 |        0
 check_constraint_routine_usage        | 13202 |        0
 check_constraints                     | 13206 |        0
 collations                            | 13210 |        0
 collation_character_set_applicability | 13214 |        0
 column_column_usage                   | 13218 |        0
 column_domain_usage                   | 13222 |        0
 column_privileges                     | 13226 |        0
 column_udt_usage                      | 13230 |        0
 columns                               | 13234 |        0
 constraint_column_usage               | 13238 |        0
 constraint_table_usage                | 13242 |        0
 domain_constraints                    | 13246 |        0
 domain_udt_usage                      | 13250 |        0
 domains                               | 13254 |        0
 enabled_roles                         | 13258 |        0
 key_column_usage                      | 13261 |        0
 parameters                            | 13265 |        0
 referential_constraints               | 13269 |        0
 role_column_grants                    | 13273 |        0
 routine_privileges                    | 13276 |        0
 role_routine_grants                   | 13280 |        0
 routines                              | 13283 |        0
 schemata                              | 13287 |        0
 sequences                             | 13290 |        0
 sql_features                          | 13294 |        0
 pg_toast_13293                        | 13296 |        0
 sql_implementation_info               | 13299 |        0
 pg_toast_13298                        | 13301 |        0
 sql_languages                         | 13304 |        0
 pg_toast_13303                        | 13306 |        0
 sql_packages                          | 13309 |        0
 pg_toast_13308                        | 13311 |        0
 sql_parts                             | 13314 |        0
 pg_toast_13313                        | 13316 |        0
 sql_sizing                            | 13319 |        0
 pg_toast_13318                        | 13321 |        0
 sql_sizing_profiles                   | 13324 |        0
 pg_toast_13323                        | 13326 |        0
 table_constraints                     | 13329 |        0
 table_privileges                      | 13333 |        0
 role_table_grants                     | 13337 |        0
 tables                                | 13340 |        0
 transforms                            | 13344 |        0
 triggered_update_columns              | 13348 |        0
 triggers                              | 13352 |        0
 udt_privileges                        | 13356 |        0
 role_udt_grants                       | 13360 |        0
 usage_privileges                      | 13363 |        0
 role_usage_grants                     | 13367 |        0
 user_defined_types                    | 13370 |        0
 view_column_usage                     | 13374 |        0
 view_routine_usage                    | 13378 |        0
 view_table_usage                      | 13382 |        0
 views                                 | 13386 |        0
 data_type_privileges                  | 13390 |        0
 element_types                         | 13394 |        0
 _pg_foreign_table_columns             | 13398 |        0
 column_options                        | 13402 |        0
 _pg_foreign_data_wrappers             | 13405 |        0
 foreign_data_wrapper_options          | 13408 |        0
 foreign_data_wrappers                 | 13411 |        0
 _pg_foreign_servers                   | 13414 |        0
 foreign_server_options                | 13418 |        0
 foreign_servers                       | 13421 |        0
 _pg_foreign_tables                    | 13424 |        0
 foreign_table_options                 | 13428 |        0
 foreign_tables                        | 13431 |        0
 _pg_user_mappings                     | 13434 |        0
 user_mapping_options                  | 13438 |        0
 user_mappings                         | 13442 |        0
 _users                                | 16386 |        0
 users                                 | 16387 |    16386
 pg_toast_16385                        | 16389 |        0
 _posts                                | 16392 |        0
 posts                                 | 16393 |    16392
 pg_toast_16391                        | 16395 |        0
 _comments                             | 16398 |        0
 comments                              | 16399 |    16398
 pg_toast_16397                        | 16401 |        0
(415 rows)

