                typname                |  oid  | typarray 
 _regoper                              |  2208 |        0
 _regoperator                          |  2209 |        0
 _regclass                             |  2210 |        0
 _regtype                              |  2211 |        0
 record                                |  2249 |     2287
 cstring                               |  2275 |     1263
 any                                   |  2276 |        0
 anyarray                              |  2277 |        0
 void                                  |  2278 |        0
 trigger                               |  2279 |        0
 language_handler                      |  2280 |        0
 internal                              |  2281 |        0
 opaque                                |  2282 |        0
 anyelement                            |  2283 |        0
 _record                               |  2287 |        0
 anynonarray                           |  2776 |        0
 pg_authid                             |  2842 |        0
 pg_auth_members                       |  2843 |        0
 _txid_snapshot                        |  2949 |        0
 uuid                                  |  2950 |     2951
 _uuid                                 |  2951 |        0
 txid_snapshot                         |  2970 |     2949
 fdw_handler                           |  3115 |        0
 pg_lsn                                |  3220 |     3221
 _pg_lsn                               |  3221 |        0
 tsm_handler                           |  3310 |        0
 pg_ndistinct                          |  3361 |        0
 pg_dependencies                       |  3402 |        0
 anyenum                               |  3500 |        0
 tsvector                              |  3614 |     3643
 tsquery                               |  3615 |     3645
 gtsvector                             |  3642 |     3644
 _tsvector                             |  3643 |        0
 _gtsvector                            |  3644 |        0
 _tsquery                              |  3645 |        0
 regconfig                             |  3734 |     3735
 _regconfig                            |  3735 |        0
 regdictionary                         |  3769 |     3770
 _regdictionary                        |  3770 |        0
 jsonb                                 |  3802 |     3807
 _jsonb                                |  3807 |        0
 anyrange                              |  3831 |        0
 event_trigger                         |  3838 |        0
 int4range                             |  3904 |     3905
 _int4range                            |  3905 |        0
 numrange                              |  3906 |     3907
 _numrange                             |  3907 |        0
 tsrange                               |  3908 |     3909
 _tsrange                              |  3909 |        0
 tstzrange                             |  3910 |     3911
 _tstzrange                            |  3911 |        0
 daterange                             |  3912 |     3913
 _daterange                            |  3913 |        0
 int8range                             |  3926 |     3927
 _int8range                            |  3927 |        0
 pg_shseclabel                         |  4066 |        0
 jsonpath                              |  4072 |     4073
 _jsonpath                             |  4073 |        0
 regnamespace                          |  4089 |     4090
 _regnamespace                         |  4090 |        0
 regrole                               |  4096 |     4097
 _regrole                              |  4097 |        0
 pg_mcv_list                           |  5017 |        0
 pg_subscription                       |  6101 |        0
 pg_attrdef                            | 12000 |        0
 pg_constraint                         | 12001 |        0
 pg_inherits                           | 12002 |        0
 pg_index                              | 12003 |        0
 pg_operator                           | 12004 |        0
 pg_opfamily                           | 12005 |        0
 pg_opclass                            | 12006 |        0
 pg_am                                 | 12007 |        0
 pg_amop                               | 12008 |        0
 pg_amproc                             | 12009 |        0
 pg_language                           | 12010 |        0
 pg_largeobject_metadata               | 12011 |        0
 pg_largeobject                        | 12012 |        0
 pg_aggregate                          | 12013 |        0
 pg_statistic_ext                      | 12014 |        0
 pg_statistic_ext_data                 | 12015 |        0
 pg_statistic                          | 12016 |        0
 pg_rewrite                            | 12017 |        0
 pg_trigger                            | 12018 |        0
 pg_event_trigger                      | 12019 |        0
 pg_description                        | 12020 |        0
